idx,message,predicted,expected,match
1,"Ее сейчас и никто не лонгует, это вчерашняя сделка",1,1,True
2,"надеюсь этот второй дроп будет не сильно копеечный, ну или хотя-бы больше джекпота в 1к монет, я уже выигрывал",1,1,True
3,"Что за бред? Сам две недели там гасился вот, всё норм там с байбитом было!",1,1,True
4,"мне вот другое интересно, когда либо, какой-то обычный токен будет в рост на битгет? может ли кто-то вспомнить токен , у которого был хороший памп или рост , который листился только на битгет или ещё на пару обычных биржах?! я за 8 лет не припомню (( я могу десятки токенов/проектов назвать которы…",1,1,True
5,"Тоже самое, только вернулась",1,1,True
6,У меня такое сообщение висит Отправитель,1,1,True
7,Не грузись а то начнется тильт и все жопа будет конкретная,1,1,True
8,это же скам чистой воды)),1,1,True
9,кто знает какие щас лимиты на инвайтинг?,1,1,True
10,"после обновы, кнопка опубликовать залазит на кнопки телефона и нереально кликать, с этим что-то делать будут?(",1,1,True
11,"Ну кто то же придумывал текст, согласовывал",1,1,True
12,А чё сразу на твой то?,1,1,True
13,"Я первая сказала, что мошенники",1,1,True
14,Это к ведроиду вопросы наверно,1,1,True
15,Я первый поржал,1,1,True
16,слух а ты где сейчас в earn на каких биржах под какие % хранишь а ту мне кажется битгет меня наёмывает с 8%,1,1,True
17,"ну да, только было все ок, а потом начали дизайн менять и только хуже стало",1,1,True
18,"Рассел двойную вершину отрисовал, может быть разворот вниз",1,1,True
19,"везде по немногу,и остальное на битгете",1,1,True
20,"Вот те на, только вчера нахваливал",1,1,True
21,в сайте айперон там есть в статье чётка инструкция,1,1,True
22,"Опять эти токены… никого не удивляют уже, а вот интересненько, что там с наградами за Linea будет. Может, на что-то стоящее проскочим? Я бы не отказалась от парочки токенов для коллекции. А квесты на Opensea — это ж еще та забава, надеюсь, не разочаруют.",1,1,True
23,не не считаю),1,1,True
24,считала PnL начисленный за деень он совпадает с заявленным?,1,1,True
25,200м doge вывели с биржи,1,1,True
26,"обычно биржи не обманывают, но щас посчитал за последний день там по факту 4% выходит а пишут 8%",1,1,True
27,завтра гляну 😒 по факту я пополнял вчера тока,1,1,True
28,на более крупную сумму с бинанса переносил,1,1,True
29,"Там же отсечки у всех разные, кто то почасовую капу платит, кто то суточную",1,1,True
30,мэйби не за фулл день посчитали да я знаю некоторые раз в 3 часа,1,1,True
31,"там на 300 $ только повышенный процент,остальное обычно под 4-6%",1,1,True
32,туда накидали ликвидности APR упал вывел комсу и ликвидность +9%,1,1,True
33,Как там ликвидность на мухе?,1,1,True
34,Полетели на низа,1,1,True
35,Операции проходят через дядю с комиссией 😂,1,1,True
36,"Привет всем участникам группы. А есть тут специалисты, кто торгует роботом?",1,1,True
37,И это только начало 👍,1,1,True
38,"Кто-то уже купил $0G? 😄 Дропы - это как лотерея! 🎉 Кто готов к Airdrop-гонке? 🚀 Сколько токенов у вас? 🤔 Зеленые задания, только это важно! 💚 Давайте обсуждать, кто что думает!",1,1,True
39,Где мой бесплатный токен?,1,1,True
40,"Что то не догнал... По какой причине меняют ставку, что мне приходится платить за шорт по мухе",1,1,True
41,"Тоже об этом думал, вынести на последок шортов которые за хай спрятались было бы красиво",1,1,True
42,Что ой?,1,1,True
43,Значит не пойдем туда Спасеба блин,1,1,True
44,"если верить бинанску, то по всем трем графикам лонгустов уже больше, чем шортистов",1,1,True
45,"ну а почему лонгисты должны терять на падении цены, да еще и фандинг платить? а так все по честному - токен дешвеет: лонгам платят фаединг, но бреет падение, а шортам плюсует падение, но бреет фандинг. шило на мыло - деньги у биржи.",1,1,True
46,Дроп метамаска в этом цикле уже точно можно не ждать.,1,1,True
47,До конца осталось-то три месяца.,1,1,True
48,ее наконец-то начали сливать?),1,1,True
49,"ребят, почему когда раблтаешь на бирже она каждый раз вылетает? сообщения с поддержкой тоже не сохраняются",1,1,True
50,Думаю чуть разгрузят и опять на 18,1,1,True
51,Епа тут художник),1,1,True
52,"аа,понятно,да заморачиваться из за 1-2 % думаю нет смысла",1,1,True
53,хызы по моему стоит 😒,1,1,True
54,Посмотрите что с мухой 😂🙈,1,1,True
55,"Ну вот и всё, вы парились",1,1,True
56,У вас там бейк потек,1,1,True
57,Говорили что гем,1,1,True
58,Я жёстко сгорел...,1,1,True
59,А как проверить оригинальность почты байбит ?,1,1,True
60,"Что смешного, наконец-то ушла в коррекцию",1,1,True
61,Закономерно,0,1,False
62,"Привет. Я не специалист, но торгую роботом",1,1,True
63,А че тишина в видеочате?,1,1,True
64,Дак она упала на 11% после 18 иксов роста,1,1,True
65,Слышно,1,1,True
66,ios у тебя?,1,1,True
67,"MYX тварь) Посредством аномального фандинга не позволил додержать шорт, а сейчас выглядит будто лить начинают (не советую ни чего брать!!) Ну не открывать же позу вдогонку. Не известно как себя дальше поведет",1,1,True
68,у меня на бинансе так раскидано в 4 стейбла просто где процент на лимит до дают,1,1,True
69,"Я тоже уже почти согласился с Акасием, ждал 20)",1,1,True
70,"Парился я, в итоге вышел на 17, надо было ждать, но все пугали 20+",1,1,True
71,I joined #Bitgetsummer,1,1,True
72,"А мерседес своей любимой купил трейдер, шортивший альту последние 2 года и закупавший на спот BGB, BTC.",1,1,True
73,А так бывает?,1,1,True
74,Кто-то уже купил $0G?,1,1,True
75,"Ребят, а что значит заблокирован счёт из-за хай риска? Крипту в Сити покупали, MEXC уже не работает с РФ?",1,1,True
76,Кто-то еще верит в это?,1,1,True
77,Про юэ,1,1,True
78,"Блин, я совсем забыл, что в России ТГ глючит теперь(",1,1,True
79,Вроде щас должен в плюсе быть,1,1,True
80,"Он у меня на фандинге столько с меня схавал, не знаю даже как отбивать фандинг",1,1,True
